image_path,label
malignant/malignant (88).png,malignant
malignant/malignant (139).png,malignant
malignant/malignant (35).png,malignant
malignant/malignant (129).png,malignant
malignant/malignant (184).png,malignant
malignant/malignant (120).png,malignant
malignant/malignant (183).png,malignant
malignant/malignant (122).png,malignant
malignant/malignant (160).png,malignant
malignant/malignant (44).png,malignant
malignant/malignant (152).png,malignant
malignant/malignant (62).png,malignant
malignant/malignant (65).png,malignant
malignant/malignant (83).png,malignant
malignant/malignant (93).png,malignant
malignant/malignant (117).png,malignant
malignant/malignant (126).png,malignant
malignant/malignant (33).png,malignant
malignant/malignant (143).png,malignant
malignant/malignant (21).png,malignant
malignant/malignant (154).png,malignant
malignant/malignant (70).png,malignant
malignant/malignant (182).png,malignant
malignant/malignant (9).png,malignant
malignant/malignant (48).png,malignant
malignant/malignant (157).png,malignant
malignant/malignant (16).png,malignant
malignant/malignant (36).png,malignant
malignant/malignant (100).png,malignant
malignant/malignant (199).png,malignant
malignant/malignant (34).png,malignant
malignant/malignant (163).png,malignant
malignant/malignant (145).png,malignant
malignant/malignant (15).png,malignant
malignant/malignant (206).png,malignant
malignant/malignant (135).png,malignant
malignant/malignant (170).png,malignant
malignant/malignant (155).png,malignant
malignant/malignant (102).png,malignant
malignant/malignant (116).png,malignant
malignant/malignant (202).png,malignant
malignant/malignant (187).png,malignant
malignant/malignant (45).png,malignant
malignant/malignant (97).png,malignant
malignant/malignant (108).png,malignant
malignant/malignant (137).png,malignant
malignant/malignant (109).png,malignant
malignant/malignant (185).png,malignant
malignant/malignant (168).png,malignant
malignant/malignant (119).png,malignant
malignant/malignant (208).png,malignant
malignant/malignant (186).png,malignant
malignant/malignant (151).png,malignant
malignant/malignant (123).png,malignant
malignant/malignant (130).png,malignant
malignant/malignant (6).png,malignant
malignant/malignant (4).png,malignant
malignant/malignant (19).png,malignant
malignant/malignant (26).png,malignant
malignant/malignant (29).png,malignant
malignant/malignant (195).png,malignant
malignant/malignant (31).png,malignant
malignant/malignant (140).png,malignant
malignant/malignant (43).png,malignant
malignant/malignant (128).png,malignant
malignant/malignant (82).png,malignant
malignant/malignant (200).png,malignant
malignant/malignant (104).png,malignant
malignant/malignant (207).png,malignant
malignant/malignant (132).png,malignant
malignant/malignant (22).png,malignant
malignant/malignant (194).png,malignant
malignant/malignant (141).png,malignant
malignant/malignant (150).png,malignant
malignant/malignant (115).png,malignant
malignant/malignant (95).png,malignant
malignant/malignant (177).png,malignant
malignant/malignant (60).png,malignant
malignant/malignant (125).png,malignant
malignant/malignant (84).png,malignant
malignant/malignant (78).png,malignant
malignant/malignant (75).png,malignant
malignant/malignant (101).png,malignant
malignant/malignant (56).png,malignant
malignant/malignant (201).png,malignant
malignant/malignant (37).png,malignant
malignant/malignant (110).png,malignant
malignant/malignant (197).png,malignant
malignant/malignant (107).png,malignant
malignant/malignant (178).png,malignant
malignant/malignant (124).png,malignant
malignant/malignant (39).png,malignant
malignant/malignant (73).png,malignant
malignant/malignant (173).png,malignant
malignant/malignant (23).png,malignant
malignant/malignant (96).png,malignant
malignant/malignant (87).png,malignant
malignant/malignant (142).png,malignant
malignant/malignant (127).png,malignant
malignant/malignant (205).png,malignant
malignant/malignant (25).png,malignant
malignant/malignant (17).png,malignant
malignant/malignant (71).png,malignant
malignant/malignant (38).png,malignant
malignant/malignant (162).png,malignant
malignant/malignant (176).png,malignant
malignant/malignant (193).png,malignant
malignant/malignant (53).png,malignant
malignant/malignant (188).png,malignant
malignant/malignant (80).png,malignant
malignant/malignant (77).png,malignant
malignant/malignant (32).png,malignant
malignant/malignant (147).png,malignant
malignant/malignant (158).png,malignant
malignant/malignant (164).png,malignant
malignant/malignant (111).png,malignant
malignant/malignant (209).png,malignant
malignant/malignant (51).png,malignant
malignant/malignant (134).png,malignant
malignant/malignant (1).png,malignant
malignant/malignant (146).png,malignant
malignant/malignant (12).png,malignant
malignant/malignant (66).png,malignant
malignant/malignant (49).png,malignant
malignant/malignant (99).png,malignant
malignant/malignant (156).png,malignant
malignant/malignant (161).png,malignant
malignant/malignant (153).png,malignant
malignant/malignant (81).png,malignant
normal/normal (57).png,normal
normal/normal (114).png,normal
normal/normal (102).png,normal
normal/normal (41).png,normal
normal/normal (77).png,normal
normal/normal (83).png,normal
normal/normal (38).png,normal
normal/normal (123).png,normal
normal/normal (67).png,normal
normal/normal (45).png,normal
normal/normal (81).png,normal
normal/normal (33).png,normal
normal/normal (121).png,normal
normal/normal (20).png,normal
normal/normal (12).png,normal
normal/normal (65).png,normal
normal/normal (32).png,normal
normal/normal (66).png,normal
normal/normal (124).png,normal
normal/normal (21).png,normal
normal/normal (112).png,normal
normal/normal (89).png,normal
normal/normal (26).png,normal
normal/normal (103).png,normal
normal/normal (118).png,normal
normal/normal (19).png,normal
normal/normal (119).png,normal
normal/normal (43).png,normal
normal/normal (61).png,normal
normal/normal (27).png,normal
normal/normal (25).png,normal
normal/normal (111).png,normal
normal/normal (79).png,normal
normal/normal (122).png,normal
normal/normal (133).png,normal
normal/normal (30).png,normal
normal/normal (14).png,normal
normal/normal (37).png,normal
normal/normal (8).png,normal
normal/normal (82).png,normal
normal/normal (9).png,normal
normal/normal (47).png,normal
normal/normal (10).png,normal
normal/normal (40).png,normal
normal/normal (58).png,normal
normal/normal (13).png,normal
normal/normal (129).png,normal
normal/normal (132).png,normal
normal/normal (131).png,normal
normal/normal (128).png,normal
normal/normal (94).png,normal
normal/normal (5).png,normal
normal/normal (68).png,normal
normal/normal (15).png,normal
normal/normal (23).png,normal
normal/normal (92).png,normal
normal/normal (117).png,normal
normal/normal (48).png,normal
normal/normal (2).png,normal
normal/normal (31).png,normal
normal/normal (6).png,normal
normal/normal (64).png,normal
normal/normal (91).png,normal
normal/normal (108).png,normal
normal/normal (36).png,normal
normal/normal (72).png,normal
normal/normal (93).png,normal
normal/normal (71).png,normal
normal/normal (59).png,normal
normal/normal (28).png,normal
normal/normal (42).png,normal
normal/normal (115).png,normal
normal/normal (34).png,normal
normal/normal (7).png,normal
normal/normal (24).png,normal
normal/normal (88).png,normal
normal/normal (18).png,normal
normal/normal (55).png,normal
normal/normal (11).png,normal
normal/normal (84).png,normal
normal/normal (73).png,normal
normal/normal (76).png,normal
normal/normal (51).png,normal
normal/normal (104).png,normal
normal/normal (106).png,normal
normal/normal (80).png,normal
normal/normal (17).png,normal
normal/normal (60).png,normal
normal/normal (22).png,normal
normal/normal (52).png,normal
normal/normal (87).png,normal
normal/normal (86).png,normal
normal/normal (44).png,normal
